letter,total_weight,num_selected_vertices,penalties,uncertain_edges,sum_of_weight,all_candidates_x,all_candidates_y,ICD,Bearing Entropy,Categorized Bearing Entropy,Graph Asymmetry,Normalized ICD,Normalized Bearing Entropy,Normalized Categorized Bearing Entropy,Normalized Graph Asymmetry,Skeletonization_Method,Path
WG_Average-Regular_Approach1,18,2,0,4,18,44.0,88,1.9746835443038,6.28540221886226,3.08108112182187,436,0.5,0.9,1.0,0.4,Approach1,LSP
WG_Average-Regular_Approach1,11,1,0,4,18,44.0,88,1.9746835443038,6.28540221886226,3.08108112182187,436,0.5,0.9,1.0,0.4,Approach1,LSP
WI_Average-Regular_Approach1,20,2,0,4,20,35.5,71,1.96551724137931,5.83289001416474,3.16867580051852,322,0.5,0.9,1.0,0.3,Approach1,LSP
WI_Average-Regular_Approach1,12,1,0,4,20,35.5,71,1.96551724137931,5.83289001416474,3.16867580051852,322,0.5,0.9,1.0,0.3,Approach1,LSP
WJ_Average-Regular_Approach1,16,2,0,4,16,35.5,71,1.96363636363636,5.75488750216347,3.18786210651289,273,0.5,0.9,1.0,0.3,Approach1,LSP
WJ_Average-Regular_Approach1,10,1,0,4,16,35.5,71,1.96363636363636,5.75488750216347,3.18786210651289,273,0.5,0.9,1.0,0.3,Approach1,LSP
WM_Average-Regular_Approach1,36,5,0,10,36,48.0,96,1.97560975609756,6.33985000288461,3.15472194742548,574,0.5,0.9,1.0,0.5,Approach1,LSP
WM_Average-Regular_Approach1,11,1,0,10,36,48.0,96,1.97560975609756,6.33985000288461,3.15472194742548,574,0.5,0.9,1.0,0.5,Approach1,LSP
WM_Average-Regular_Approach1,19,2,0,10,36,48.0,96,1.97560975609756,6.33985000288461,3.15472194742548,574,0.5,0.9,1.0,0.5,Approach1,LSP
WM_Average-Regular_Approach1,26,3,0,10,36,48.0,96,1.97560975609756,6.33985000288461,3.15472194742548,574,0.5,0.9,1.0,0.5,Approach1,LSP
WM_Average-Regular_Approach1,32,4,0,10,36,48.0,96,1.97560975609756,6.33985000288461,3.15472194742548,574,0.5,0.9,1.0,0.5,Approach1,LSP
WP_Average-Regular_Approach1,20,2,0,4,20,40.5,81,2.0,5.97727992349992,3.15416720013682,368,0.5,0.9,1.0,0.4,Approach1,LSP
WP_Average-Regular_Approach1,12,1,0,4,20,40.5,81,2.0,5.97727992349992,3.15416720013682,368,0.5,0.9,1.0,0.4,Approach1,LSP
WPG_Average-Regular_Approach1,20,2,0,4,20,62.5,125,2.0,6.58496250072116,3.15256338287865,579,0.5,1.0,1.0,0.6,Approach1,LSP
WPG_Average-Regular_Approach1,12,1,0,4,20,62.5,125,2.0,6.58496250072116,3.15256338287865,579,0.5,1.0,1.0,0.6,Approach1,LSP
WQ_Average-Regular_Approach1,18,2,0,4,18,40.5,81,1.97142857142857,6.10852445677816,3.16802579048555,388,0.5,0.9,1.0,0.4,Approach1,LSP
WQ_Average-Regular_Approach1,11,1,0,4,18,40.5,81,1.97142857142857,6.10852445677816,3.16802579048555,388,0.5,0.9,1.0,0.4,Approach1,LSP
WW_Average-Regular_Approach1,34,4,0,8,34,38.0,76,1.97368421052632,6.22881869049589,3.17179019236463,426,0.5,0.9,1.0,0.4,Approach1,LSP
WW_Average-Regular_Approach1,28,3,0,8,34,38.0,76,1.97368421052632,6.22881869049589,3.17179019236463,426,0.5,0.9,1.0,0.4,Approach1,LSP
WW_Average-Regular_Approach1,11,1,0,8,34,38.0,76,1.97368421052632,6.22881869049589,3.17179019236463,426,0.5,0.9,1.0,0.4,Approach1,LSP
WW_Average-Regular_Approach1,21,2,0,8,34,38.0,76,1.97368421052632,6.22881869049589,3.17179019236463,426,0.5,0.9,1.0,0.4,Approach1,LSP
WWA_Average-Regular_Approach1,44,6,0,10,44,56.0,112,2.0,6.71424551766611,3.20890768695593,613,0.5,1.0,1.0,0.6,Approach1,LSP
WWA_Average-Regular_Approach1,12,1,0,10,44,56.0,112,2.0,6.71424551766611,3.20890768695593,613,0.5,1.0,1.0,0.6,Approach1,LSP
WWA_Average-Regular_Approach1,37,4,0,10,44,56.0,112,2.0,6.71424551766611,3.20890768695593,613,0.5,1.0,1.0,0.6,Approach1,LSP
WWA_Average-Regular_Approach1,23,2,0,10,44,56.0,112,2.0,6.71424551766611,3.20890768695593,613,0.5,1.0,1.0,0.6,Approach1,LSP
WWA_Average-Regular_Approach1,31,3,0,10,44,56.0,112,2.0,6.71424551766611,3.20890768695593,613,0.5,1.0,1.0,0.6,Approach1,LSP
WWA_Average-Regular_Approach1,41,5,0,10,44,56.0,112,2.0,6.71424551766611,3.20890768695593,613,0.5,1.0,1.0,0.6,Approach1,LSP
XMA_Average-Regular_Approach1,16,3,0,6,16,69.0,138,2.01769911504425,6.83289001416475,3.22546153636492,942,0.6,1.0,1.0,0.9,Approach1,LSP
XMA_Average-Regular_Approach1,7,1,0,6,16,69.0,138,2.01769911504425,6.83289001416475,3.22546153636492,942,0.6,1.0,1.0,0.9,Approach1,LSP
XMA_Average-Regular_Approach1,12,2,0,6,16,69.0,138,2.01769911504425,6.83289001416475,3.22546153636492,942,0.6,1.0,1.0,0.9,Approach1,LSP
XWI_Average-Regular_Approach1,16,2,0,4,16,63.5,127,1.98,6.62935662007962,3.22458820064438,629,0.5,1.0,1.0,0.6,Approach1,LSP
XWI_Average-Regular_Approach1,10,1,0,4,16,63.5,127,1.98,6.62935662007962,3.22458820064438,629,0.5,1.0,1.0,0.6,Approach1,LSP
XXW_Average-Regular_Approach1,20,2,0,4,20,74.5,149,2.0,6.90689059560854,3.2275215573287,806,0.5,1.0,1.0,0.7,Approach1,LSP
XXW_Average-Regular_Approach1,12,1,0,4,20,74.5,149,2.0,6.90689059560854,3.2275215573287,806,0.5,1.0,1.0,0.7,Approach1,LSP
YUT_Average-Regular_Approach1,4,1,0,2,4,65.5,131,1.97872340425532,6.53915881110804,3.13316640846066,538,0.5,1.0,1.0,0.5,Approach1,LSP
YXW_Average-Regular_Approach1,20,3,0,5,20,69.0,138,1.98214285714286,6.79441586635012,3.21059680084201,695,0.5,1.0,1.0,0.7,Approach1,LSP
YXW_Average-Regular_Approach1,11,1,0,5,20,69.0,138,1.98214285714286,6.79441586635012,3.21059680084201,695,0.5,1.0,1.0,0.7,Approach1,LSP
YXW_Average-Regular_Approach1,18,2,0,5,20,69.0,138,1.98214285714286,6.79441586635012,3.21059680084201,695,0.5,1.0,1.0,0.7,Approach1,LSP
ZCI_Average-Regular_Approach1,10,3,0,4,10,37.5,75,2.0377358490566,5.75488750216347,3.13834769122186,448,0.6,0.9,1.0,0.4,Approach1,LSP
ZCI_Average-Regular_Approach1,4,1,0,4,10,37.5,75,2.0377358490566,5.75488750216347,3.13834769122186,448,0.6,0.9,1.0,0.4,Approach1,LSP
ZCI_Average-Regular_Approach1,7,2,0,4,10,37.5,75,2.0377358490566,5.75488750216347,3.13834769122186,448,0.6,0.9,1.0,0.4,Approach1,LSP
ZJY_Average-Regular_Approach1,7,1,0,2,7,43.0,86,2.0,5.97727992349992,3.21431403152878,448,0.5,0.9,1.0,0.4,Approach1,LSP
ZOZ_Average-Regular_Approach1,17,4,0,6,17,39.5,79,2.08695652173913,6.16992500144232,3.21127223256677,724,0.6,0.9,1.0,0.7,Approach1,LSP
ZOZ_Average-Regular_Approach1,6,1,0,6,17,39.5,79,2.08695652173913,6.16992500144232,3.21127223256677,724,0.6,0.9,1.0,0.7,Approach1,LSP
ZOZ_Average-Regular_Approach1,14,3,0,6,17,39.5,79,2.08695652173913,6.16992500144232,3.21127223256677,724,0.6,0.9,1.0,0.7,Approach1,LSP
ZOZ_Average-Regular_Approach1,11,2,0,6,17,39.5,79,2.08695652173913,6.16992500144232,3.21127223256677,724,0.6,0.9,1.0,0.7,Approach1,LSP
ZSM_Average-Regular_Approach1,14,2,0,4,14,49.5,99,2.02409638554217,6.39231742277876,3.22344077828915,743,0.6,0.9,1.0,0.7,Approach1,LSP
ZSM_Average-Regular_Approach1,8,1,0,4,14,49.5,99,2.02409638554217,6.39231742277876,3.22344077828915,743,0.6,0.9,1.0,0.7,Approach1,LSP
ACI_arial_Approach1,5,2,0,2,5,26.5,53,2.03076923076923,6.04439411935846,3.17019801535953,589,0.6,0.9,1.0,0.6,Approach1,LSP
ACI_arial_Approach1,3,1,0,2,5,26.5,53,2.03076923076923,6.04439411935846,3.17019801535953,589,0.6,0.9,1.0,0.6,Approach1,LSP
AJD_arial_Approach1,2,1,0,2,4,29.0,58,2.05714285714286,5.16992500144231,3.05037604244792,349,0.6,0.8,1.0,0.4,Approach1,LSP
ANC_arial_Approach1,13,2,0,3,13,28.0,56,2.0,6.22881869049589,3.13019557420468,677,0.5,0.9,1.0,0.6,Approach1,LSP
ANC_arial_Approach1,10,1,0,3,13,28.0,56,2.0,6.22881869049589,3.13019557420468,677,0.5,0.9,1.0,0.6,Approach1,LSP
AW_arial_Approach1,10,2,0,4,10,20.0,40,2.0,5.58496250072116,3.2451111490821,261,0.5,0.8,1.0,0.3,Approach1,LSP
AW_arial_Approach1,6,1,0,4,10,20.0,40,2.0,5.58496250072116,3.2451111490821,261,0.5,0.8,1.0,0.3,Approach1,LSP
BEV_arial_Approach1,4,1,0,2,4,30.5,61,2.14035087719298,5.93073733756288,3.12829528120399,647,0.6,0.9,1.0,0.6,Approach1,LSP
BKQ_arial_Approach1,13,2,0,4,13,46.0,92,2.04545454545454,6.49185309632966,3.17612340552216,742,0.6,1.0,1.0,0.7,Approach1,LSP
BKQ_arial_Approach1,8,1,0,4,13,46.0,92,2.04545454545454,6.49185309632966,3.17612340552216,742,0.6,1.0,1.0,0.7,Approach1,LSP
BLC_arial_Approach1,16,1,0,3,16,37.5,75,2.04878048780488,6.39231742277876,3.13393606773961,676,0.6,0.9,1.0,0.6,Approach1,LSP
BTM_arial_Approach1,7,1,0,2,7,33.5,67,2.06896551724138,5.90689059560852,3.10032711434271,476,0.6,0.9,1.0,0.5,Approach1,LSP
BVD_arial_Approach1,12,2,0,3,12,41.5,83,2.13333333333333,5.58496250072116,3.14503528328508,533,0.6,0.8,1.0,0.5,Approach1,LSP
BVD_arial_Approach1,9,1,0,3,12,41.5,83,2.13333333333333,5.58496250072116,3.14503528328508,533,0.6,0.8,1.0,0.5,Approach1,LSP
CBS_arial_Approach1,4,1,0,2,4,58.0,116,2.06451612903226,6.58496250072116,3.12693769778329,920,0.6,1.0,1.0,0.8,Approach1,LSP
CIO_arial_Approach1,16,5,0,6,16,32.5,65,2.0655737704918,5.97727992349992,3.19053567821995,478,0.6,0.9,1.0,0.5,Approach1,LSP
CIO_arial_Approach1,5,1,0,6,16,32.5,65,2.0655737704918,5.97727992349992,3.19053567821995,478,0.6,0.9,1.0,0.5,Approach1,LSP
CIO_arial_Approach1,11,3,0,6,16,32.5,65,2.0655737704918,5.97727992349992,3.19053567821995,478,0.6,0.9,1.0,0.5,Approach1,LSP
CIO_arial_Approach1,8,2,0,6,16,32.5,65,2.0655737704918,5.97727992349992,3.19053567821995,478,0.6,0.9,1.0,0.5,Approach1,LSP
CIO_arial_Approach1,14,4,0,6,16,32.5,65,2.0655737704918,5.97727992349992,3.19053567821995,478,0.6,0.9,1.0,0.5,Approach1,LSP
COP_arial_Approach1,12,1,0,4,16,42.5,85,2.05714285714286,6.16992500144232,3.17248580373107,492,0.6,0.9,1.0,0.5,Approach1,LSP
CRK_arial_Approach1,4,1,0,2,4,41.0,82,2.08219178082192,6.24792751344359,3.16962121441771,703,0.6,0.9,1.0,0.7,Approach1,LSP
CV_arial_Approach1,2,1,0,1,2,21.5,43,2.04255319148936,5.58496250072116,3.11734850126544,331,0.6,0.8,1.0,0.3,Approach1,LSP
CWC_arial_Approach1,8,2,0,3,8,44.0,88,2.02127659574468,6.56985560833095,3.20341906174357,567,0.6,1.0,1.0,0.5,Approach1,LSP
CWC_arial_Approach1,6,1,0,3,8,44.0,88,2.02127659574468,6.56985560833095,3.20341906174357,567,0.6,1.0,1.0,0.5,Approach1,LSP
CVG_arial_Approach1,2,1,0,1,2,41.0,82,2.02222222222222,6.5077946401987,3.11906851113911,528,0.6,1.0,1.0,0.5,Approach1,LSP
DAQ_arial_Approach1,5,1,0,2,5,42.0,84,2.11267605633803,6.22881869049589,3.20340672825122,705,0.6,0.9,1.0,0.7,Approach1,LSP
DGH_arial_Approach1,2,1,0,1,2,40.0,80,2.05479452054794,6.22881869049589,3.11736800488386,662,0.6,0.9,1.0,0.6,Approach1,LSP
DMF_arial_Approach1,12,2,0,3,12,28.5,57,2.0,5.90689059560852,3.03469594927776,373,0.5,0.9,1.0,0.4,Approach1,LSP
DMF_arial_Approach1,9,1,0,3,12,28.5,57,2.0,5.90689059560852,3.03469594927776,373,0.5,0.9,1.0,0.4,Approach1,LSP
DMP_arial_Approach1,6,1,0,2,6,36.0,72,2.0377358490566,5.75488750216347,3.11563739299641,357,0.6,0.9,1.0,0.4,Approach1,LSP
EP_arial_Approach1,5,1,0,2,5,21.0,42,2.12903225806452,5.04439411935846,3.08212480111108,298,0.6,0.8,1.0,0.3,Approach1,LSP
EVG_arial_Approach1,8,1,0,2,8,34.0,68,2.0253164556962,6.32192809488736,3.12813981001945,533,0.6,0.9,1.0,0.5,Approach1,LSP
FHP_arial_Approach1,5,1,0,2,5,25.5,51,2.04255319148936,5.58496250072116,3.0925134021694,378,0.6,0.8,1.0,0.4,Approach1,LSP
FPJ_arial_Approach1,8,1,0,2,8,28.0,56,2.0377358490566,5.75488750216347,3.06186568730121,339,0.6,0.9,1.0,0.3,Approach1,LSP
FUX_arial_Approach1,4,1,0,2,4,29.5,59,2.03571428571429,5.83289001416474,3.13412597979406,550,0.6,0.9,1.0,0.5,Approach1,LSP
GD_arial_Approach1,7,1,0,2,7,35.0,70,2.04545454545454,5.49185309632967,3.00045011991957,298,0.6,0.8,1.0,0.3,Approach1,LSP
GM_arial_Approach1,14,2,0,4,14,27.5,55,2.0,5.75488750216347,3.18205503907294,326,0.5,0.9,1.0,0.3,Approach1,LSP
GM_arial_Approach1,9,1,0,4,14,27.5,55,2.0,5.75488750216347,3.18205503907294,326,0.5,0.9,1.0,0.3,Approach1,LSP
GMU_arial_Approach1,12,2,0,4,12,38.0,76,2.0,6.4262647547021,3.15452840671852,392,0.5,0.9,1.0,0.4,Approach1,LSP
GMU_arial_Approach1,7,1,0,4,12,38.0,76,2.0,6.4262647547021,3.15452840671852,392,0.5,0.9,1.0,0.4,Approach1,LSP
GTB_arial_Approach1,4,1,0,2,4,44.5,89,2.03076923076923,6.04439411935846,3.11460811062812,526,0.6,0.9,1.0,0.5,Approach1,LSP
GWG_arial_Approach1,20,4,0,7,20,52.5,105,2.0,6.58496250072116,3.18937824989878,607,0.5,1.0,1.0,0.6,Approach1,LSP
GWG_arial_Approach1,10,1,0,7,20,52.5,105,2.0,6.58496250072116,3.18937824989878,607,0.5,1.0,1.0,0.6,Approach1,LSP
GWG_arial_Approach1,16,2,0,7,20,52.5,105,2.0,6.58496250072116,3.18937824989878,607,0.5,1.0,1.0,0.6,Approach1,LSP
GWG_arial_Approach1,18,3,0,7,20,52.5,105,2.0,6.58496250072116,3.18937824989878,607,0.5,1.0,1.0,0.6,Approach1,LSP
HKD_arial_Approach1,8,2,0,3,8,28.0,56,2.05263157894737,5.28540221886225,2.96944019533762,387,0.6,0.8,1.0,0.4,Approach1,LSP
HKD_arial_Approach1,5,1,0,3,8,28.0,56,2.05263157894737,5.28540221886225,2.96944019533762,387,0.6,0.8,1.0,0.4,Approach1,LSP
HBV_arial_Approach1,2,1,0,1,2,32.0,64,2.08163265306122,5.6724253419715,3.23997215671049,470,0.6,0.8,1.0,0.5,Approach1,LSP
IN_arial_Approach1,8,1,0,3,10,7.0,14,1.90909090909091,4.39231742277876,2.58402368701509,142,0.5,0.7,0.8,0.2,Approach1,LSP
IZ_arial_Approach1,4,1,0,2,4,8.5,17,2.0,4.16992500144231,2.88551303039988,137,0.5,0.6,0.9,0.2,Approach1,LSP
JC_arial_Approach1,6,1,0,2,6,24.5,49,2.0,5.83289001416474,3.13680831683506,414,0.5,0.9,1.0,0.4,Approach1,LSP
JCD_arial_Approach1,12,2,0,4,12,40.5,81,2.05714285714286,6.16992500144232,3.11267321364139,770,0.6,0.9,1.0,0.7,Approach1,LSP
JCD_arial_Approach1,6,1,0,4,12,40.5,81,2.05714285714286,6.16992500144232,3.11267321364139,770,0.6,0.9,1.0,0.7,Approach1,LSP
JD_arial_Approach1,2,1,0,2,4,22.0,44,2.0,4.58496250072116,2.75686654318252,197,0.5,0.7,0.9,0.2,Approach1,LSP
JNY_arial_Approach1,9,2,0,4,12,21.0,42,1.95918367346939,5.58496250072116,3.11870124222941,345,0.5,0.8,1.0,0.3,Approach1,LSP
JNY_arial_Approach1,7,1,0,4,12,21.0,42,1.95918367346939,5.58496250072116,3.11870124222941,345,0.5,0.8,1.0,0.3,Approach1,LSP
JO_arial_Approach1,8,1,0,2,8,24.5,49,2.05714285714286,5.16992500144231,3.01526857323962,255,0.6,0.8,1.0,0.3,Approach1,LSP
JXD_arial_Approach1,8,1,0,3,8,37.0,74,2.08163265306122,5.6724253419715,3.12952650846067,493,0.6,0.8,1.0,0.5,Approach1,LSP
KGO_arial_Approach1,4,1,0,2,4,38.5,77,2.02816901408451,6.16992500144232,3.13139237250408,471,0.6,0.9,1.0,0.5,Approach1,LSP
KIW_arial_Approach1,16,3,0,5,16,22.5,45,2.0,5.58496250072116,3.14885931307764,271,0.5,0.8,1.0,0.3,Approach1,LSP
KIW_arial_Approach1,9,1,0,5,16,22.5,45,2.0,5.58496250072116,3.14885931307764,271,0.5,0.8,1.0,0.3,Approach1,LSP
KIW_arial_Approach1,14,2,0,5,16,22.5,45,2.0,5.58496250072116,3.14885931307764,271,0.5,0.8,1.0,0.3,Approach1,LSP
LZT_arial_Approach1,2,1,0,1,2,14.0,28,1.94117647058824,5.04439411935846,2.75270766767844,253,0.5,0.8,0.9,0.3,Approach1,LSP
LWC_arial_Approach1,11,2,0,4,11,31.0,62,2.0,6.40939093613771,3.15983593526927,522,0.5,0.9,1.0,0.5,Approach1,LSP
LWC_arial_Approach1,7,1,0,4,11,31.0,62,2.0,6.40939093613771,3.15983593526927,522,0.5,0.9,1.0,0.5,Approach1,LSP
MB_arial_Approach1,6,1,0,2,6,30.0,60,2.04255319148936,5.58496250072116,3.08086204450475,316,0.6,0.8,1.0,0.3,Approach1,LSP
MMK_arial_Approach1,12,2,0,4,12,23.0,46,1.96551724137931,5.83289001416474,3.00135762024195,301,0.5,0.9,1.0,0.3,Approach1,LSP
MMK_arial_Approach1,6,1,0,4,12,23.0,46,1.96551724137931,5.83289001416474,3.00135762024195,301,0.5,0.9,1.0,0.3,Approach1,LSP
MNW_arial_Approach1,21,4,0,7,21,26.5,53,1.96875,5.97727992349992,3.10768994887274,353,0.5,0.9,1.0,0.4,Approach1,LSP
MNW_arial_Approach1,9,1,0,7,21,26.5,53,1.96875,5.97727992349992,3.10768994887274,353,0.5,0.9,1.0,0.4,Approach1,LSP
MNW_arial_Approach1,15,2,0,7,21,26.5,53,1.96875,5.97727992349992,3.10768994887274,353,0.5,0.9,1.0,0.4,Approach1,LSP
MNW_arial_Approach1,19,3,0,7,21,26.5,53,1.96875,5.97727992349992,3.10768994887274,353,0.5,0.9,1.0,0.4,Approach1,LSP
MP_arial_Approach1,6,1,0,2,6,21.0,42,2.0,5.28540221886225,3.13073491470822,196,0.5,0.8,1.0,0.2,Approach1,LSP
MY_arial_Approach1,4,1,0,2,4,15.5,31,1.95,5.28540221886225,3.08308643906915,196,0.5,0.8,1.0,0.2,Approach1,LSP
NB_arial_Approach1,6,1,0,2,6,26.5,53,2.04878048780488,5.39231742277876,3.05767188829516,355,0.6,0.8,1.0,0.4,Approach1,LSP
ND_arial_Approach1,6,1,0,4,10,20.0,40,2.0,4.58496250072116,2.64033606476044,235,0.5,0.7,0.9,0.3,Approach1,LSP
NJY_arial_Approach1,14,3,0,5,14,22.5,45,1.96551724137931,5.83289001416474,2.86470700096967,469,0.5,0.9,0.9,0.5,Approach1,LSP
NJY_arial_Approach1,7,1,0,5,14,22.5,45,1.96551724137931,5.83289001416474,2.86470700096967,469,0.5,0.9,0.9,0.5,Approach1,LSP
NJY_arial_Approach1,11,2,0,5,14,22.5,45,1.96551724137931,5.83289001416474,2.86470700096967,469,0.5,0.9,0.9,0.5,Approach1,LSP
NPP_arial_Approach1,6,1,0,2,6,29.0,58,2.08163265306122,5.6724253419715,3.18481707842996,439,0.6,0.8,1.0,0.4,Approach1,LSP
NUO_arial_Approach1,9,2,0,3,9,27.5,55,2.0,5.90689059560852,3.10922042597794,509,0.5,0.9,1.0,0.5,Approach1,LSP
NUO_arial_Approach1,7,1,0,3,9,27.5,55,2.0,5.90689059560852,3.10922042597794,509,0.5,0.9,1.0,0.5,Approach1,LSP
NWF_arial_Approach1,36,5,0,8,36,23.5,47,1.9672131147541,5.90689059560852,3.09076189841594,479,0.5,0.9,1.0,0.5,Approach1,LSP
NWF_arial_Approach1,12,1,0,8,36,23.5,47,1.9672131147541,5.90689059560852,3.09076189841594,479,0.5,0.9,1.0,0.5,Approach1,LSP
NWF_arial_Approach1,21,2,0,8,36,23.5,47,1.9672131147541,5.90689059560852,3.09076189841594,479,0.5,0.9,1.0,0.5,Approach1,LSP
NWF_arial_Approach1,33,4,0,8,36,23.5,47,1.9672131147541,5.90689059560852,3.09076189841594,479,0.5,0.9,1.0,0.5,Approach1,LSP
NWF_arial_Approach1,30,3,0,8,36,23.5,47,1.9672131147541,5.90689059560852,3.09076189841594,479,0.5,0.9,1.0,0.5,Approach1,LSP
NWW_arial_Approach1,44,6,0,12,44,32.0,64,1.97260273972603,6.16992500144232,3.12112726683117,500,0.5,0.9,1.0,0.5,Approach1,LSP
NWW_arial_Approach1,12,1,0,12,44,32.0,64,1.97260273972603,6.16992500144232,3.12112726683117,500,0.5,0.9,1.0,0.5,Approach1,LSP
NWW_arial_Approach1,23,2,0,12,44,32.0,64,1.97260273972603,6.16992500144232,3.12112726683117,500,0.5,0.9,1.0,0.5,Approach1,LSP
NWW_arial_Approach1,37,4,0,12,44,32.0,64,1.97260273972603,6.16992500144232,3.12112726683117,500,0.5,0.9,1.0,0.5,Approach1,LSP
NWW_arial_Approach1,32,3,0,12,44,32.0,64,1.97260273972603,6.16992500144232,3.12112726683117,500,0.5,0.9,1.0,0.5,Approach1,LSP
NWW_arial_Approach1,42,5,0,12,44,32.0,64,1.97260273972603,6.16992500144232,3.12112726683117,500,0.5,0.9,1.0,0.5,Approach1,LSP
OGW_arial_Approach1,6,2,0,3,6,44.0,88,2.02702702702703,6.22881869049589,3.18802167664414,517,0.6,0.9,1.0,0.5,Approach1,LSP
OGW_arial_Approach1,4,1,0,3,6,44.0,88,2.02702702702703,6.22881869049589,3.18802167664414,517,0.6,0.9,1.0,0.5,Approach1,LSP
OMJ_arial_Approach1,18,3,0,5,18,32.0,64,2.05479452054794,6.22881869049589,3.22199609539938,619,0.6,0.9,1.0,0.6,Approach1,LSP
OMJ_arial_Approach1,11,1,0,5,18,32.0,64,2.05479452054794,6.22881869049589,3.22199609539938,619,0.6,0.9,1.0,0.6,Approach1,LSP
OMJ_arial_Approach1,15,2,0,5,18,32.0,64,2.05479452054794,6.22881869049589,3.22199609539938,619,0.6,0.9,1.0,0.6,Approach1,LSP
OPN_arial_Approach1,12,2,0,4,12,31.0,62,2.06896551724138,5.90689059560852,3.20946455577298,467,0.6,0.9,1.0,0.5,Approach1,LSP
OPN_arial_Approach1,6,1,0,4,12,31.0,62,2.06896551724138,5.90689059560852,3.20946455577298,467,0.6,0.9,1.0,0.5,Approach1,LSP
PD_arial_Approach1,11,3,0,4,11,27.0,54,2.12903225806452,5.04439411935846,3.10078910458822,376,0.6,0.8,1.0,0.4,Approach1,LSP
PD_arial_Approach1,6,1,0,4,11,27.0,54,2.12903225806452,5.04439411935846,3.10078910458822,376,0.6,0.8,1.0,0.4,Approach1,LSP
PD_arial_Approach1,9,2,0,4,11,27.0,54,2.12903225806452,5.04439411935846,3.10078910458822,376,0.6,0.8,1.0,0.4,Approach1,LSP
PJW_arial_Approach1,15,2,0,4,15,32.0,64,2.05263157894737,6.28540221886226,3.18984230678412,601,0.6,0.9,1.0,0.6,Approach1,LSP
PJW_arial_Approach1,9,1,0,4,15,32.0,64,2.05263157894737,6.28540221886226,3.18984230678412,601,0.6,0.9,1.0,0.6,Approach1,LSP
PQW_arial_Approach1,16,3,0,6,16,47.0,94,2.04878048780488,6.39231742277876,3.17836725142382,670,0.6,0.9,1.0,0.6,Approach1,LSP
PQW_arial_Approach1,6,1,0,6,16,47.0,94,2.04878048780488,6.39231742277876,3.17836725142382,670,0.6,0.9,1.0,0.6,Approach1,LSP
PQW_arial_Approach1,12,2,0,6,16,47.0,94,2.04878048780488,6.39231742277876,3.17836725142382,670,0.6,0.9,1.0,0.6,Approach1,LSP
RMJ_arial_Approach1,12,2,0,3,12,34.5,69,2.05970149253731,6.10852445677816,3.16268083886622,631,0.6,0.9,1.0,0.6,Approach1,LSP
RMJ_arial_Approach1,10,1,0,3,12,34.5,69,2.05970149253731,6.10852445677816,3.16268083886622,631,0.6,0.9,1.0,0.6,Approach1,LSP
SD_arial_Approach1,6,1,0,2,6,40.5,81,2.06896551724138,5.90689059560852,3.15029365008978,599,0.6,0.9,1.0,0.6,Approach1,LSP
TSM_arial_Approach1,13,2,0,4,13,38.5,77,2.0506329113924,6.33985000288461,3.13153545169722,672,0.6,0.9,1.0,0.6,Approach1,LSP
TSM_arial_Approach1,7,1,0,4,13,38.5,77,2.0506329113924,6.33985000288461,3.13153545169722,672,0.6,0.9,1.0,0.6,Approach1,LSP
UIN_arial_Approach1,6,1,0,2,6,17.0,34,1.95,5.28540221886225,3.05008755502292,309,0.5,0.8,1.0,0.3,Approach1,LSP
UNY_arial_Approach1,16,2,0,4,16,22.5,45,1.96153846153846,5.6724253419715,3.16551088029634,370,0.5,0.8,1.0,0.4,Approach1,LSP
UNY_arial_Approach1,11,1,0,4,16,22.5,45,1.96153846153846,5.6724253419715,3.16551088029634,370,0.5,0.8,1.0,0.4,Approach1,LSP
VNM_arial_Approach1,24,4,0,7,24,19.5,39,1.96153846153846,5.6724253419715,3.12056619779224,236,0.5,0.8,1.0,0.3,Approach1,LSP
VNM_arial_Approach1,10,1,0,7,24,19.5,39,1.96153846153846,5.6724253419715,3.12056619779224,236,0.5,0.8,1.0,0.3,Approach1,LSP
VNM_arial_Approach1,16,2,0,7,24,19.5,39,1.96153846153846,5.6724253419715,3.12056619779224,236,0.5,0.8,1.0,0.3,Approach1,LSP
VNM_arial_Approach1,22,3,0,7,24,19.5,39,1.96153846153846,5.6724253419715,3.12056619779224,236,0.5,0.8,1.0,0.3,Approach1,LSP
VQ_arial_Approach1,16,2,0,6,16,26.5,53,2.0377358490566,5.75488750216347,3.18140811492776,499,0.6,0.9,1.0,0.5,Approach1,LSP
VQ_arial_Approach1,12,1,0,6,16,26.5,53,2.0377358490566,5.75488750216347,3.18140811492776,499,0.6,0.9,1.0,0.5,Approach1,LSP
WD_arial_Approach1,20,3,0,6,20,28.0,56,2.0,5.16992500144231,3.09760947549432,244,0.5,0.8,1.0,0.3,Approach1,LSP
WD_arial_Approach1,11,1,0,6,20,28.0,56,2.0,5.16992500144231,3.09760947549432,244,0.5,0.8,1.0,0.3,Approach1,LSP
WD_arial_Approach1,16,2,0,6,20,28.0,56,2.0,5.16992500144231,3.09760947549432,244,0.5,0.8,1.0,0.3,Approach1,LSP
WF_arial_Approach1,16,3,0,5,16,18.0,36,1.95348837209302,5.39231742277876,3.09423394908777,236,0.5,0.8,1.0,0.3,Approach1,LSP
